"type","density","pressure","velocity:0","velocity:1","velocity:2","domain","Points:0","Points:1","Points:2"
1,1014.3,49420,0.42948,0,-18.574,1,0.085916,0.00425,0.13163
1,1006.7,22565,0.87979,0,-13.51,1,0.14692,0.00425,0.36233
1,1012.5,42986,-0.14777,0,-14.864,1,0.13207,0.00425,0.17572
1,1009.6,32773,0.19653,0,-18.482,1,0.1028,0.00425,0.09199
1,1017,59386,0.42013,0,-17.57,1,0.10936,0.00425,0.37698
1,1015.6,54455,0.1197,0,-10.853,1,0.15978,0.00425,0.19699
1,1012.5,43946,-0.28778,0,-18.82,1,0.073247,0.00425,0.13774
1,1012.6,43605,0.49864,0,-12.823,1,0.14842,0.00425,0.24604
1,1012.7,43072,-0.14133,0,-18.569,1,0.098794,0.00425,0.030908
1,1011,37629,-0.11524,0,-18.686,1,0.076287,0.00425,0.37028
1,1014.5,50303,-0.59324,0,-13.599,1,0.14376,0.00425,0.1544
1,1007.7,26191,0.19868,0,-18.795,1,0.081641,0.00425,0.26707
1,1009.9,33907,-0.12588,0,-16.238,1,0.12723,0.00425,0.18876
1,1005.1,17507,-0.44519,0,-18.51,1,0.10378,0.00425,0.13795
1,1015.8,55508,0.21659,0,-10.954,1,0.15952,0.00425,0.12869
1,1017.1,60261,-0.33924,0,-15.995,1,0.13272,0.00425,0.35208
1,1017.2,60621,-0.064879,0,-17.663,1,0.11033,0.00425,0.31757
1,1003.9,13328,0.40581,0,-18.902,1,0.076501,0.00425,0.34618
1,1004.8,16611,-0.41305,0,-11.079,1,0.16006,0.00425,0.29302
1,1016,56212,-0.24809,0,-15.517,1,0.13088,0.00425,0.35563
1,1007.7,26919,-0.33396,0,-17.067,1,0.12084,0.00425,0.1639
1,1012,40499,0.40179,0,-18.751,1,0.092882,0.00425,0.030036
1,1006.3,21429,-0.10831,0,-18.822,1,0.07155,0.00425,0.29833
1,1004.2,14261,-0.26697,0,-19.329,1,0.081294,0.00425,0.16993
1,1011,37699,-0.31935,0,-17.779,1,0.11206,0.00425,0.029458
1,1002.2,7063.9,-0.44318,0,-17.176,1,0.12176,0.00425,0.15403
1,1015.9,55222,-0.57267,0,-18.405,1,0.084087,0.00425,0.19146
1,1008,27051,-0.018761,0,-10.453,1,0.15895,0.00425,0.036967
1,1016.2,56502,-0.13497,0,-14.753,1,0.13152,0.00425,0.094448
1,1009.5,32677,0.016917,0,-18.265,1,0.10698,0.00425,0.27387
1,1013.3,46561,0.69777,0,-17.769,1,0.10586,0.00425,0.014506
1,1013.2,46019,0.19623,0,-16.699,1,0.12222,0.00425,0.31501
1,1009.4,32261,0.13261,0,-15.282,1,0.13495,0.00425,0.34476
1,1011.2,38472,0.075147,0,-13.346,1,0.14708,0.00425,0.25527
1,1016.5,57745,-0.0071691,0,-18.603,1,0.084913,0.00425,0.37467
1,1014.5,50431,-0.13191,0,-18.332,1,0.073622,0.00425,0.24691
1,1017,59713,-0.38172,0,-18.425,1,0.086961,0.00425,0.33554
0,1003.5,11838,0,0,0,1,0.18275,0.00425,0.08925
1,1013.6,47278,0.36163,0,-16.375,1,0.12599,0.00425,0.31147
0,1030.7,1.1199e+05,0,0,0,1,0.17425,0.00425,0.21675
1,1007.1,24291,0.22402,0,-15.95,1,0.13086,0.00425,0.36792
1,1008.1,28050,0.40901,0,-18.876,1,0.092928,0.00425,0.071422
1,1011.8,41068,0.53984,0,-18.268,1,0.10817,0.00425,0.044583
1,1000.7,2162.2,-0.09922,0,-19.088,1,0.098916,0.00425,0.038003
1,1018,63025,-0.14458,0,-16.393,1,0.11645,0.00425,0.14735
0,1000,6.5206,0,0,0,1,0.19125,0.00425,0.22525
1,1013.5,46980,-0.24945,0,-10.82,1,0.15824,0.00425,0.0039894
1,1019.1,67239,0.35329,0,-17.886,1,0.1059,0.00425,0.059331
1,1013.4,46375,-0.70411,0,-10.666,1,0.15946,0.00425,0.32722
1,1003,10348,-0.59915,0,-13.48,1,0.1452,0.00425,0.0052508
1,1012.9,44931,0.031075,0,-13.749,1,0.14353,0.00425,0.081977
1,1007.7,26476,-0.23202,0,-18.685,1,0.101,0.00425,0.32788
1,1018.3,64345,-0.22074,0,-18.392,1,0.071104,0.00425,0.0031557
1,1018.5,65145,0.64467,0,-12.117,1,0.15561,0.00425,0.36656
1,1011.2,38443,-0.15727,0,-18.701,1,0.082471,0.00425,0.29808
1,1020.2,71515,-0.28395,0,-18.262,1,0.089982,0.00425,0.22633
1,1014.6,50799,0.011299,0,-18.714,1,0.077127,0.00425,0.0019543
0,1020.1,71134,0,0,0,1,0.17425,0.00425,0.16575
0,nan,nan,0,0,0,1,-0.02975,-0.00425,-0.00425
1,1013.4,46563,-0.35681,0,-16.797,1,0.12261,0.00425,0.38236
1,1013.2,45844,-0.1229,0,-18.392,1,0.09927,0.00425,0.38648
1,1017.2,60508,0.35229,0,-14.762,1,0.13861,0.00425,0.28248
1,1017.5,61536,-0.22354,0,-18.259,1,0.07989,0.00425,0.011102
